GO_BP	Gene_Size	Gene_List
GO:0038060:nitric oxide-cGMP-mediated signaling pathway	2	GUCY1B1,KCNC2
GO:0038061:NIK/NF-kappaB signaling	63	AKT1,ALK,BIRC2,BIRC3,BTRC,CHUK,CUL1,DICER1,FBXW11,IKBKE,MAP3K14,NFKB1,NFKB2,PPP4C,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,REL,RELA,RELB,RIPK3,SKP1
GO:0038063:collagen-activated tyrosine kinase receptor signaling pathway	11	COL1A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,DDR1,DDR2,SYK,UBASH3B
GO:0038065:collagen-activated signaling pathway	4	ITGA11,ITGA2,OSCAR,UBASH3B
GO:0038066:p38MAPK cascade	7	LGALS9,MAP2K3,MAP3K5,MAPK14,MAPKAPK2,ZFP36,ZFP36L1
GO:0038083:peptidyl-tyrosine autophosphorylation	32	AATK,ABL1,BLK,DDR1,DYRK1A,EGFR,FER,FES,FGR,FRK,FYN,HCK,IGF1R,INSR,ITK,KDR,LCK,LYN,MAPK3,NTRK1,PTK2,PTK2B,PTK6,ROS1,SLA,SRC,SRMS,TEC,TNK1,TNK2,TXK,YES1
GO:0038084:vascular endothelial growth factor signaling pathway	13	FLT1,FLT3,FLT4,FOXC1,GAB1,KDR,NRP2,NUS1,PGF,VEGFA,VEGFB,VEGFC,VEGFD
GO:0038089:positive regulation of cell migration by vascular endothelial growth factor signaling pathway	2	GAB1,MYO1C
GO:0038091:positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway	3	PDGFRA,PDGFRB,VEGFA
GO:0038092:nodal signaling pathway	9	ACVR1B,ACVR1C,CFC1,CFC1B,SMAD2,SMAD3,TDGF1,TDGF1P3,TGIF2
GO:0038093:Fc receptor signaling pathway	4	CD200R1,FCGR1B,KIT,PIGR
GO:0038094:Fc-gamma receptor signaling pathway	3	CLEC4D,CLEC4E,FCER1G
GO:0038095:Fc-epsilon receptor signaling pathway	171	BCL10,BTK,BTRC,CALM1,CARD11,CHUK,CUL1,FBXW11,FCER1A,FCER1G,FER,FOS,GAB2,GRAP2,GRB2,IGHE,IGHV1-2,IGHV1-46,IGHV1-69,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-23,IGHV3-30,IGHV3-33,IGHV3-48,IGHV3-53,IGHV3-7,IGHV3-9,IGHV4-34,IGHV4-39,IGHV4-59,IGKC,IGKV1-12,IGKV1-16,IGKV1-17,IGKV1-33,IGKV1-39,IGKV1-5,IGKV1D-12,IGKV1D-16,IGKV1D-33,IGKV1D-39,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2D-28,IGKV2D-30,IGKV2D-40,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3D-20,IGKV4-1,IGKV5-2,IGLC1,IGLC2,IGLC3,IGLC6,IGLC7,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-51,IGLV2-11,IGLV2-14,IGLV2-23,IGLV2-8,IGLV3-1,IGLV3-19,IGLV3-21,IGLV3-25,IGLV3-27,IGLV6-57,IGLV7-43,IKBKB,IKBKG,ITK,JUN,LAT,LAT2,LCP2,LILRA4,LYN,MALT1,MAP2K4,MAP2K7,MAP3K1,MAP3K7,MAPK1,MAPK10,MAPK3,MAPK8,MAPK9,MS4A2,NFATC1,NFATC2,NFATC3,NFKB1,PAK1,PAK2,PDPK1,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PLCG1,PLCG2,PPP3CA,PPP3CB,PPP3R1,PRKCQ,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RAC1,RELA,SHC1,SKP1,SOS1,SYK,TAB1,TAB2,TAB3,TEC,TRAF6,VAV1,VAV2,VAV3
GO:0038096:Fc-gamma receptor signaling pathway involved in phagocytosis	135	ABI1,ABL1,ACTB,ACTG1,ACTR2,ACTR3,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,BAIAP2,BRK1,CD247,CD3G,CDC42,CRK,CYFIP1,CYFIP2,DOCK1,ELMO1,ELMO2,FCGR1A,FCGR2A,FCGR2B,FCGR3A,FGR,FYN,GRB2,HCK,HSP90AA1,HSP90AB1,IGHG1,IGHG2,IGHG3,IGHG4,IGHV1-2,IGHV1-46,IGHV1-69,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-23,IGHV3-30,IGHV3-33,IGHV3-48,IGHV3-53,IGHV3-7,IGHV3-9,IGHV4-34,IGHV4-39,IGHV4-59,IGKC,IGKV1-12,IGKV1-16,IGKV1-17,IGKV1-33,IGKV1-39,IGKV1-5,IGKV1D-12,IGKV1D-16,IGKV1D-33,IGKV1D-39,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2D-28,IGKV2D-30,IGKV2D-40,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3D-20,IGKV4-1,IGKV5-2,IGLC1,IGLC2,IGLC3,IGLC6,IGLC7,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-51,IGLV2-11,IGLV2-14,IGLV2-23,IGLV2-8,IGLV3-1,IGLV3-19,IGLV3-21,IGLV3-25,IGLV3-27,IGLV6-57,IGLV7-43,LIMK1,LYN,MAPK1,MAPK3,MYH2,MYO10,MYO1C,MYO1G,NCK1,NCKAP1,NCKAP1L,NCKIPSD,PAK1,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PLA2G6,PLCG1,PLCG2,PLD2,PLPP4,PRKCD,PRKCE,PTK2,RAC1,SRC,SYK,VAV1,VAV2,VAV3,WAS,WASF2,WASL,WIPF1,WIPF2,WIPF3,YES1
GO:0038098:sequestering of BMP from receptor via BMP binding	3	GREM1,GREM2,NBL1
GO:0038108:negative regulation of appetite by leptin-mediated signaling pathway	4	BBS2,BBS4,LEP,MKKS
GO:0038109:Kit signaling pathway	2	FER,KIT
GO:0038110:interleukin-2-mediated signaling pathway	11	IL2,IL2RA,IL2RB,IL2RG,JAK1,JAK3,PTK2B,SHC1,STAT5A,STAT5B,SYK
GO:0038111:interleukin-7-mediated signaling pathway	19	BRWD1,CISH,CRLF2,H3C1,H3C13,IL2RG,IL7,IL7R,IRS1,IRS2,JAK1,JAK3,SMARCA4,SOCS1,SOCS2,STAT3,STAT5A,STAT5B,TSLP
GO:0038112:interleukin-8-mediated signaling pathway	2	CXCR1,CXCR2
GO:0038113:interleukin-9-mediated signaling pathway	9	IL2RG,IL9,IL9R,JAK1,JAK3,STAT1,STAT3,STAT5A,STAT5B
GO:0038114:interleukin-21-mediated signaling pathway	8	IL21,IL21R,IL2RG,JAK1,JAK3,STAT1,STAT3,STAT4
GO:0038116:chemokine (C-C motif) ligand 21 signaling pathway	4	CCL21,CCR7,OXSR1,WNK1
GO:0038123:toll-like receptor TLR1:TLR2 signaling pathway	4	CD14,SCIMP,TLR1,TLR2
GO:0038124:toll-like receptor TLR6:TLR2 signaling pathway	4	CD14,CD36,TLR2,TLR6
GO:0038127:ERBB signaling pathway	4	MAPK1,MVP,NRG1,PTPN11
GO:0038128:ERBB2 signaling pathway	31	BTC,CDC37,CPNE3,CUL5,EGF,EGFR,ERBB2,ERBB3,ERBB4,ERBIN,EREG,GAB1,GRB2,GRB7,HBEGF,HSP90AA1,MATK,NRG1,NRG2,NRG4,PIK3CA,PIK3R1,PRKCA,PTK6,PTPN12,PTPN18,PTPRR,SHC1,SOS1,SRC,STUB1
GO:0038145:macrophage colony-stimulating factor signaling pathway	4	CSF1,CSF1R,DOK1,MST1R
GO:0038146:chemokine (C-X-C motif) ligand 12 signaling pathway	3	CXCL12,OXSR1,STK39
GO:0038154:interleukin-11-mediated signaling pathway	2	IL11RA,IL6ST
GO:0038155:interleukin-23-mediated signaling pathway	9	IL12B,IL12RB1,IL23A,IL23R,JAK2,P4HB,STAT3,STAT4,TYK2
GO:0038156:interleukin-3-mediated signaling pathway	4	CSF2RB,FCER1G,IL3RA,SYK
GO:0038158:granulocyte colony-stimulating factor signaling pathway	2	CEACAM1,JAGN1
GO:0038162:erythropoietin-mediated signaling pathway	4	EPO,EPOR,KIT,RHEX
GO:0038163:thrombopoietin-mediated signaling pathway	5	CIB1,MPL,RBM15,SH2B3,THPO
GO:0038165:oncostatin-M-mediated signaling pathway	4	IL6ST,LIFR,OSM,OSMR
GO:0038166:angiotensin-activated signaling pathway	7	AGTR1,AGTR2,AGTRAP,AHCYL1,CA2,CAMK2A,MAS1
GO:0038170:somatostatin signaling pathway	5	SSTR1,SSTR2,SSTR3,SSTR4,SSTR5
GO:0038171:cannabinoid signaling pathway	3	CNR1,CNR2,GPR55
GO:0038172:interleukin-33-mediated signaling pathway	3	IL1RAP,IL1RL1,IL33
GO:0038178:complement component C5a signaling pathway	2	C5AR1,C5AR2
GO:0038180:nerve growth factor signaling pathway	13	BDNF,CORO1A,KIDINS220,M0QZQ0,MAGI2,NGF,NTF3,NTF4,NTRK1,RAP1A,RAPGEF1,RAPGEF2,SORT1
GO:0038183:bile acid signaling pathway	2	NR1H4,VDR
GO:0038188:cholecystokinin signaling pathway	2	CCKAR,CCKBR
GO:0038189:neuropilin signaling pathway	3	ABL1,CDC42,NRP1
GO:0038190:VEGF-activated neuropilin signaling pathway	2	NRP1,VEGFA
GO:0038194:thyroid-stimulating hormone signaling pathway	2	PAX8,TSHR
GO:0038195:urokinase plasminogen activator signaling pathway	2	PLAUR,SLURP1
GO:0038202:TORC1 signaling	7	CARD11,LARP1,MFSD8,MLST8,MTOR,NPRL3,RPTOR
GO:0038203:TORC2 signaling	6	MAPKAP1,PINK1,PRR5,PRR5L,SESN3,SYAP1
GO:0039003:pronephric field specification	2	PAX2,PAX8
GO:0039528:cytoplasmic pattern recognition receptor signaling pathway in response to virus	2	DDX58,IFIH1
GO:0039529:RIG-I signaling pathway	4	DDX58,LSM14A,RNF135,TRIM25
GO:0039530:MDA-5 signaling pathway	3	IFIH1,IRF3,IRF7
GO:0039534:negative regulation of MDA-5 signaling pathway	4	C1QBP,DHX58,RIOK3,TKFC
GO:0039535:regulation of RIG-I signaling pathway	3	BIRC2,BIRC3,NOP53
GO:0039536:negative regulation of RIG-I signaling pathway	8	C1QBP,DHX58,GPATCH3,NLRX1,NPLOC4,RNF125,SEC14L1,UFD1
GO:0039689:negative stranded viral RNA replication	3	ATG16L1,ATG16L2,ATG5
GO:0039694:viral RNA genome replication	9	CDC42,EEA1,PCBP1,PCBP2,PI4KA,PIK3C2G,RAB29,RAB5A,ROCK2
GO:0039702:viral budding via host ESCRT complex	21	CHMP1A,CHMP1B,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP6,CHMP7,MITD1,MVB12A,PDCD6IP,TSG101,VPS28,VPS37A,VPS37B,VPS37C,VPS37D,VPS4A,VPS4B
GO:0040001:establishment of mitotic spindle localization	5	CLASP1,CLASP2,ESPL1,KPNB1,NUSAP1
GO:0040008:regulation of growth	62	ACTL6A,ARMC10,BCL2L1,BRD8,BRMS1L,CCNB2,CREG1,CSPG5,DAB2IP,DLL1,DMAP1,E4F1,ENOX2,EPC1,GAP43,GAS6,HEPACAM,HMGA2,HOXB13,IFNG,IGFBP2,IGSF11,IHH,ING2,ING3,KAT5,KCTD11,KCTD21,KCTD6,LRP12,MCTS1,MORF4L1,MORF4L2,MRGBP,NDN,NEDD9,NSMCE3,OPA3,OSM,PAK2,PPP2CA,PPP2R1A,PRAME,RUVBL1,RUVBL2,SAFB,SELENOP,SHC1,SOCS1,SOCS3,SOCS4,SOCS5,SOCS6,SOCS7,TKT,TLE5,TMEM8B,TSPYL5,UBE2E3,VPS54,YEATS4,ZMAT3
GO:0040009:regulation of growth rate	2	BNIPL,WRN
GO:0040010:positive regulation of growth rate	2	GHRL,RFTN1
GO:0040011:locomotion	5	ATP1A2,JPH3,NEFL,SCN1B,WDR1
GO:0040012:regulation of locomotion	5	CHRM1,CHRM4,FBXO7,HTR1D,LRRK2
GO:0040013:negative regulation of locomotion	2	ADORA2A,GHRL
GO:0040014:regulation of multicellular organism growth	27	AFG3L2,APP,ATRN,CACNA2D2,CDK4,DRD3,FTO,GAMT,GDF5,GHR,GPAT4,HTRA2,IGF1,MBD5,MFSD2A,NPPC,NPY1R,PIK3CA,PRL,PRLH,SGPL1,SOD1,STAT3,STAT5A,STAT5B,TNKS2,ZMPSTE24
GO:0040015:negative regulation of multicellular organism growth	11	ADRB1,ADRB2,BBS2,FXN,GDF15,LGMN,PLAC8,PTCH1,RAI1,SOCS2,STC2
GO:0040016:embryonic cleavage	5	CUL3,ERCC2,TOP1,TOP2A,TPRA1
GO:0040018:positive regulation of multicellular organism growth	33	ATP8A2,BBS2,BBS4,BCL2,CHD7,CREB1,CSF1,DIO3,DRD2,EZR,FOXS1,GH1,GHR,GHRH,GHRHR,GHRL,GHSR,GPAM,GPR21,HSF1,IGF2,MKKS,NIPBL,PLS1,POU1F1,POU3F2,PPIB,SH3PXD2B,SLC6A3,SMO,SPTBN4,STAT5B,VIL1
GO:0040019:positive regulation of embryonic development	11	AMOT,B4GALT5,DIEXF,FOXA2,LHX1,NIBAN2,NR2C2,OTX2,PAFAH1B1,PLCB1,RBM19
GO:0040020:regulation of meiotic nuclear division	5	CALR,CDC20,FZR1,GPR3,PDE3A
GO:0040029:regulation of gene expression, epigenetic	14	CTCF,GLMN,GPX1,HDAC4,HDAC5,HDAC6,IFI16,KLF2,MACROH2A1,MORC1,MTA1,TDG,TFAP2C,ZNF335
GO:0040030:regulation of molecular function, epigenetic	2	ASIP,CTCF
GO:0040036:regulation of fibroblast growth factor receptor signaling pathway	6	FAM20C,HHIP,LRIT3,OTX2,RUNX2,SULF1
GO:0040037:negative regulation of fibroblast growth factor receptor signaling pathway	16	APLN,CREB3L1,FGF2,GPC1,NGFR,PRDM14,SHISA2,SPRY1,SPRY2,SPRY3,SPRY4,SULF1,SULF2,THBS1,WNT4,WNT5A
GO:0040038:polar body extrusion after meiotic divisions	4	FMN2,SPIRE1,SPIRE2,WASHC5
GO:0042026:protein refolding	20	B2M,CRYAA,DNAJA2,DNAJA4,DNAJB2,FKBP1A,FKBP1B,HSP90AA1,HSPA13,HSPA14,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA5,HSPA6,HSPA7,HSPA8,HSPA9,HSPD1
GO:0042035:regulation of cytokine biosynthetic process	7	GATA3,IGF2BP1,IGF2BP2,IGF2BP3,IL12B,MAP2K3,ZNF287
GO:0042036:negative regulation of cytokine biosynthetic process	4	ASB1,FOXP3,RNF128,TIA1
GO:0042045:epithelial fluid transport	6	AHCYL1,CSF2,EDN1,EDNRB,ITPR1,SLC26A6
GO:0042048:olfactory behavior	8	ATP6V1B1,CFAP69,CHD7,GJB4,LMX1A,SHANK1,UBR3,WFS1
GO:0042053:regulation of dopamine metabolic process	10	CHRNB2,DRD1,DRD4,HTR1A,NR4A2,PDE1B,PNKD,PRKN,SLC6A3,TACR3
GO:0042058:regulation of epidermal growth factor receptor signaling pathway	10	CDH13,CEACAM1,FER,IFI6,MVB12A,MVB12B,PTPN12,RHBDF1,RHBDF2,WDR54
GO:0042059:negative regulation of epidermal growth factor receptor signaling pathway	36	AREG,ARHGEF7,BTC,CBL,CBLC,CDC42,DAB2IP,DUSP3,EGF,EGFR,EPGN,EPN1,EPS15,EPS15L1,EREG,ERRFI1,GRB2,HBEGF,HGS,ITGA1,MVP,NUP62,PTPN2,PTPN3,PTPRJ,RNF115,RNF126,SH3GL2,SH3KBP1,SPRY1,SPRY2,STAM,STAM2,TGFA,TSG101,ZFYVE28
GO:0042060:wound healing	82	ALOX15,ARHGEF19,C6orf89,CASP3,CCM2L,CDH3,CELSR1,COL3A1,CORO1B,DCBLD2,DCN,DRD5,DSP,DST,EGFR,ELK3,EPB41L4B,EPPK1,ERBB2,ERBB3,EREG,EVPL,EVPLL,FGF1,FGF10,FGF2,FGFR1OP2,FGFR2,FN1,FUT10,GLI3,GRHL3,IL24,INS,ITGA9,ITGB3,KRT6A,LOX,MACF1,MAP3K5,MIA3,MTOR,NF1,NLRP6,NOG,NOTCH2,NOTCH4,NRG1,OPRM1,PAK1,PDGFA,PDGFRA,PDGFRB,PECAM1,PLEC,PPARA,PPARD,PPL,PTK7,RAF1,REG1A,S100A8,SCARB1,SCRIB,SDC1,SDC4,SERPINB2,SFTA3,SLC11A1,SMAD2,SMAD3,SPARC,SPRR3,TGFB2,TGFB3,TGFBR1,TGFBR2,TNC,TPM1,VANGL2,WNT5A,WNT5B
GO:0042063:gliogenesis	6	ANXA1,CDK6,GCM1,GCM2,METTL14,METTL3
GO:0042073:intraciliary transport	27	ARL3,BBS12,CILK1,IFT122,IFT140,IFT172,IFT20,IFT27,IFT46,IFT52,IFT57,IFT74,IFT81,IFT88,LCA5,LCA5L,MAK,RABL2B,RPGR,SSNA1,TRAF3IP1,TTC26,TTC30A,TTC30B,TUB,WDR34,WDR35
GO:0042074:cell migration involved in gastrulation	9	AMOT,CER1,GPC3,LRP5,MEGF8,MIXL1,NODAL,RIC8A,SOX17
GO:0042088:T-helper 1 type immune response	9	BCL3,EBI3,HLA-DRB1,HRAS,IL12B,IL18,IL18BP,TLR4,TRAF6
GO:0042089:cytokine biosynthetic process	4	CD28,CEBPE,IL17F,PCSK5
GO:0042092:type 2 immune response	5	BCL6,BCL6B,IL10,IL18,IL4
GO:0042093:T-helper cell differentiation	3	ATP7A,IL12B,PTGER4
GO:0042094:interleukin-2 biosynthetic process	3	IL18,IL1RAP,PAWR
GO:0042095:interferon-gamma biosynthetic process	2	IL12B,IL18
GO:0042098:T cell proliferation	22	CCND3,CD151,CTPS1,EBI3,FKBP1B,IL23A,LMBR1L,MALT1,MSN,NCSTN,P2RX7,PIK3CG,PPP3CB,PRDX2,PSMB10,PTPRC,RASGRP1,RC3H1,RC3H2,RIPK2,TNFRSF4,TNFSF14
GO:0042100:B cell proliferation	34	ATAD5,BCL2,CARD11,CD40,CD40LG,CD70,CD79A,CR2,CTPS1,HSPD1,IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNE,IFNK,IFNW1,IL10,IL7R,LEF1,MEF2C,MS4A1,PRKCD,PTPRC,RASGRP1
GO:0042102:positive regulation of T cell proliferation	61	AIF1,ANXA1,CARD11,CCDC88B,CCL19,CCL5,CD1D,CD209,CD274,CD276,CD28,CD3E,CD4,CD40LG,CD46,CD6,CD70,CD80,CD86,CLECL1,CORO1A,DNAJA3,EFNB1,HAVCR2,HES1,HLA-DMB,HLA-DPA1,HLA-DPB1,IL12A,IL12B,IL15,IL1B,IL21,IL23A,IL23R,IL4,IL6,IL6ST,JAK3,LEP,LILRB2,LOC102723996,NCK1,NCK2,NCKAP1L,PDCD1LG2,PNP,PRKCQ,PTPRC,SASH3,SELENOK,SPTA1,TFRC,TNFRSF13C,TNFSF13B,TNFSF4,TRAF6,VCAM1,VTCN1,ZP3,ZP4
GO:0042104:positive regulation of activated T cell proliferation	23	AGER,CD24,EPO,FADD,GPAM,HHLA2,HMGB1,ICOSLG,IGF1,IGF2,IGFBP2,IL12B,IL12RB1,IL18,IL2,IL23A,IL23R,IL2RA,PYCARD,RPS3,STAT5B,TMIGD2,TNFSF9
GO:0042109:lymphotoxin A biosynthetic process	2	BCL10,IL17F
GO:0042110:T cell activation	44	ADA,AZI2,CASP8,CD2,CD276,CD28,CD3E,CD3G,CD4,CD44,CD7,CD8A,CD8B,CLEC7A,DDOST,DLG1,DPP4,FKBP1A,FOXP3,HSH2D,HSPD1,ICOSLG,IL4,IRF4,ITK,KIF13B,LAT,NCK1,NCK2,NEDD4,NLRC3,PIK3CD,PIK3CG,PPP3CA,PPP3CB,PTPRC,RAB29,RASGRP1,SLA2,SMAD3,TNFSF14,TREML2,WAS,ZAP70
GO:0042113:B cell activation	29	AKAP17A,BANK1,BST2,BTK,CASP8,CD22,CD40,CD79A,CHRNA4,CHRNB2,CXCR5,FCRL1,HDAC4,HDAC5,HDAC9,HSPD1,ICOSLG,IGBP1,IKZF3,LAT2,LAX1,MALT1,MS4A1,PIK3CD,PRKCB,RASGRP1,SKAP2,TXLNA,ZAP70
GO:0042116:macrophage activation	13	CD93,CRTC3,CSF2,EDN2,FOXP1,IL13,IL4,JMJD6,SLC11A1,SLC7A2,TLR1,TLR4,TMEM106A
GO:0042117:monocyte activation	8	ADAM10,ADAM9,AZU1,CSF1,FOXP1,HYAL2,MT1G,SPACA3
GO:0042118:endothelial cell activation	9	APOLD1,BMPER,CXCL10,FOXP1,HOXA9,P2RX4,PRMT5,SMAD4,TGFBR1
GO:0042119:neutrophil activation	12	CCL5,CXCL6,CXCL8,CXCR2,F2RL1,IL15,IL18,IL18RAP,KMT2E,PREX1,PRG3,PRKCD
GO:0042126:nitrate metabolic process	3	MTARC1,MTARC2,THAP4
GO:0042127:regulation of cell population proliferation	165	ACE2,AGT,AGTR1,ALK,AMBN,AMELX,ANXA1,APOBEC1,ARHGEF2,ARX,AVPR1B,BAG6,BCL6,BCL6B,BEX4,BID,BIRC2,BIRC6,BIRC7,BLK,BMPR2,BRCA1,BRICD5,CADM4,CCDC88A,CCND3,CDCA7,CELA1,CFDP1,CHRNA10,CHST11,CIB1,CLU,CXCL10,CXCL11,CXCL9,DBH,DHCR7,DUSP15,DUSP22,E2F4,ECRG4,EGLN3,EID2,EPS15,ERBB3,ESRRA,FA2H,FANCA,FANCL,FER,FES,FGR,FOXM1,FRK,FUT3,FYN,GHRL,GKN1,GKN2,GKN3P,GNL3,GRPR,GUCY2C,HCK,HOXD13,HP1BP3,IER5,IL4R,IL9R,INHA,JAG1,JAG2,JUN,JUNB,JUND,JUP,KCNH1,KIT,KSR1,LAMA5,LCK,LGR5,LTK,LYN,MAFG,MAP11,MBD2,MEAK7,MELTF,MENT,MITF,MZB1,NFKBIA,NKX2-3,NOS2,NR5A2,NUAK1,OSGIN1,PDS5B,PF4,PIAS1,PKD2,PLA2G4A,PLAU,PLCD1,PLCD3,PPP1R9B,PRDM1,PTGER2,PTGS1,PTK2,PTK6,RBBP9,RBFOX2,RNF126,RPA3,SAT1,SCGB3A1,SGK1,SGK2,SGK3,SHH,SIRT1,SIX3,SLA,SLC7A11,SMIM22,SOX9,SQLE,SRC,SRMS,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,STAT6,TAL1,TBX19,TCF7,TCFL5,TFAP2A,TFAP2B,TFAP2C,TFAP2D,TFAP2E,TFRC,TGFB1,TGFB2,TGFB3,TGFBR2,TIMELESS,TMIGD1,TNFRSF9,TNK1,TNK2,TOPORS,TRNP1,TSPO,TXNIP,USP17L2,XIAP,YES1
GO:0042129:regulation of T cell proliferation	10	CD209,CTNNB1,IL27,LGALS3,RAC2,SOS1,TNFRSF1B,TNFSF18,TNFSF8,TNFSF9
GO:0042130:negative regulation of T cell proliferation	43	ARG1,CD274,CD80,CD86,CEBPB,CLEC4G,CTLA4,DLG1,DLG5,FOXJ1,FOXP3,GLMN,GPNMB,HAVCR2,HLA-DRB1,HLA-G,IDO1,IL10,IL20RB,IL2RA,LILRB1,LILRB2,LOC102723996,MAD1L1,MARCHF7,NDFIP1,PAWR,PDCD1LG2,PDE5A,PELI1,PLA2G2A,PLA2G2D,PLA2G2E,PLA2G2F,PTPN6,SCGB1A1,SDC4,SFTPD,SHH,SPN,TNFRSF21,VSIG4,VTCN1
GO:0042133:neurotransmitter metabolic process	3	CLN3,GCHFR,MAOA
GO:0042135:neurotransmitter catabolic process	8	ABAT,ALDH5A1,COMT,LRTOMT,MAOA,MAOB,NAALAD2,PRIMA1
GO:0042136:neurotransmitter biosynthetic process	11	ACHE,ALDH9A1,DAGLA,DAGLB,GAD2,NOS1,PAH,SLC22A2,SLC6A3,SLC6A4,TH
GO:0042137:sequestering of neurotransmitter	2	SLC17A7,SLC18A2
GO:0042138:meiotic DNA double-strand break formation	6	CCDC36,HORMAD1,MEI4,MRE11,SPO11,TOP6BL
GO:0042147:retrograde transport, endosome to Golgi	83	ANKFY1,AP1S1,ARFRP1,ARL1,BAIAP3,BET1L,CLN5,CLTC,CLTCL1,DCTN1,DENND2A,DENND5A,E7EQ34,ERC1,EVI5,GBF1,GCC2,GGA1,GOSR1,GOSR2,HEATR5A,HEATR5B,MAGEL2,PHETA1,PHETA2,PIKFYVE,PLEKHJ1,PREPL,RAB29,RAB41,RAB6A,RAB6B,RAB6C,RAB6D,RAB7A,RAB9A,RAB9B,RGP1,RHOBTB3,RIC1,RNF126,SLC66A2,SNX1,SNX2,SNX32,SNX5,SNX6,SPAG9,STX10,STX16,STX5,STX6,TBC1D10A,TBC1D10B,TBC1D10C,TBC1D17,TBC1D23,TBC1D5,TMEM87A,TMEM87B,TRIM27,UBE2O,VAMP3,VPS26A,VPS26B,VPS29,VPS35,VPS50,VPS51,VPS52,VPS53,VPS54,VTI1A,VTI1B,WASH2P,WASH3P,WASH4P,WASH6P,WASHC1,WASHC2A,WASHC2C,WASHC2D,YKT6
GO:0042148:strand invasion	4	DMC1,RAD51,RAD51D,XRCC2
GO:0042149:cellular response to glucose starvation	42	ASNS,ATF4,ATG14,BCL2,BECN1,BHLHA15,C12orf66,CPEB4,EIF2AK3,FOXO3,HIGD1A,HNRNPA1,HSPA5,IFI16,IMPACT,ITFG2,KPTN,MTMR3,MYBBP1A,NFE2L2,NUAK2,PICK1,PIK3C3,PIK3R4,PMAIP1,PRKAA1,PRKAA2,PRKAG1,PRKAG2,PRKAG3,RRP8,SESN1,SESN2,SESN3,SH3GLB1,SLC2A1,SZT2,TBL2,TP53,UPP1,XBP1,ZC3H12A
GO:0042157:lipoprotein metabolic process	20	APOA1,APOA2,APOA4,APOA5,APOC1,APOC3,APOL1,APOL2,APOL3,APOL4,APOL5,APOL6,APOLD1,APOM,LRP1,MTTP,NPC1L1,OLR1,PCSK9,PPARA
GO:0042158:lipoprotein biosynthetic process	5	APOA1,APOB,APOBEC1,APOE,LCAT
GO:0042159:lipoprotein catabolic process	5	APOB,APOE,ATM,CTSD,LDLR
GO:0042167:heme catabolic process	7	AMBP,BLVRA,BLVRB,HMOX1,HMOX2,UGT1A1,UGT1A4
GO:0042168:heme metabolic process	2	BDH2,HPX
GO:0042176:regulation of protein catabolic process	16	ARNTL,CHEK2,CHMP6,FAF1,FAM83D,FURIN,HGS,MDM2,NEDD4L,ODC1,PSMD1,PSMD2,PSMD3,SNF8,UBXN2A,ZDHHC2
