GO_MF	Gene_Size	Gene_List
GO:0008191:metalloendopeptidase inhibitor activity	16	BST2,COL4A3,FETUB,LXN,NGF,RARRES1,RECK,SPOCK1,SPOCK2,SPOCK3,TIMP1,TIMP2,TIMP3,TIMP4,WFIKKN1,WFIKKN2
GO:0008194:UDP-glycosyltransferase activity	13	PIGA,UGT2A1,UGT2A3,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A1,UGT3A2,UGT8
GO:0008195:phosphatidate phosphatase activity	14	A0A286YES4,LPIN1,LPIN2,LPIN3,PLPP1,PLPP2,PLPP3,PLPP4,PLPP5,PLPPR1,PLPPR2,PLPPR3,PLPPR4,PLPPR5
GO:0008198:ferrous iron binding	25	ACP5,ALKBH1,ALKBH2,ALKBH3,CDO1,DNAJC24,EGLN1,EGLN2,FECH,FTH1,FTH1P19,FTHL17,FTL,FTMT,FTO,FXN,HAAO,HEPH,HIF1AN,ISCU,PHYH,SNCA,TET2,TF,TH
GO:0008199:ferric iron binding	11	ACP5,FTH1,FTH1P19,FTHL17,FTL,FTMT,FXN,MIOX,RRM2,TF,TH
GO:0008200:ion channel inhibitor activity	7	ANKRD36C,ENSA,KCNMB2,KCNV1,LYNX1,PDZD3,RACK1
GO:0008201:heparin binding	169	AAMP,ABI3BP,ADA2,ADAMTS1,ADAMTS15,ADAMTS3,ADAMTS5,ADAMTS8,ADAMTSL5,ADGRG1,ANG,ANGPTL3,ANOS1,AOC1,APLP1,APLP2,APOA5,APOB,APOE,APOH,APP,AZU1,BMP4,BMP7,BSPH1,CCDC80,CCL15,CCL23,CCL7,CCL8,CCN1,CCN2,CCN3,CCN4,CCN5,CCN6,CEL,CFH,CHRD,CLEC3B,COL11A1,COL13A1,COL16A1,COL19A1,COL25A1,COL5A1,COL5A3,COLQ,COMP,CRISPLD2,CTSG,CXCL10,CXCL11,CXCL13,CXCL6,DEFB106A,ECM2,ELANE,ELSPBP1,EVA1C,F11,F2,FBLN7,FBN1,FGF1,FGF10,FGF2,FGF4,FGF7,FGF9,FGFBP1,FGFBP3,FGFR1,FGFR2,FGFR4,FGFRL1,FN1,FSTL1,GPNMB,GREM2,H1-1,HBEGF,HDGF,HRG,HSD17B12,IMPG1,IMPG2,KNG1,LAMC2,LGR6,LIPC,LIPG,LIPH,LIPI,LPA,LPL,LRPAP1,LRTM1,LRTM2,LTBP2,LTF,LXN,MDK,MMP7,MPIG6B,MPO,MSTN,NAV2,NDNF,NELL1,NELL2,NRP1,NRP2,PAFAH1B1,PCOLCE,PCOLCE2,PCSK6,PDCD5,PF4,PF4V1,PGF,PLA2G2D,PLA2G5,POSTN,PRELP,PRG2,PRSS57,PTCH1,PTN,PTPRC,PTPRF,PTPRS,REG4,RPL22,RPL29,RSPO1,RSPO2,RSPO3,RSPO4,RTN4R,RTN4RL1,SAA1,SELL,SELP,SERPINA10,SERPINA5,SERPINC1,SERPIND1,SERPINE2,SFRP1,SLIT1,SLIT2,SLIT3,SMOC2,SOD3,SOST,TENM1,TGFBR3,THBS1,THBS2,THBS3,THBS4,TMEM184A,TNXB,VEGFA,VEGFB,VTN,ZNF146,ZNF207
GO:0008233:peptidase activity	91	ADAM17,ADAMTS4,ADAMTS5,ADAMTSL1,ADAMTSL2,ADAMTSL3,ADAMTSL4,AGA,APH1B,AZU1,BACE1,BAP1,BMP1,CAPN11,CAPN3,CASP3,CASP7,CASP8,CASP9,CELA3B,CLPP,CNDP1,CNDP2,CTRC,CTSB,CTSD,CTSE,CTSG,CTSH,DCD,DESI1,DHH,ELANE,FAP,FGL2,FOLH1,FURIN,HABP2,HM13,HMCES,HPN,HTRA2,IHH,IMMP2L,KLK12,KLK5,KLK7,KY,LACTB,LGMN,LMLN,LMLN2,LONP2,LTA4H,MALT1,MASP1,MASP2,MMP1,MMP3,MMP8,MMP9,MYRF,NAALADL1,NAPSA,PAPLN,PARK7,PCSK5,PCSK7,PEPD,PM20D1,PREPL,PSMB11,PSMB5,REN,SEC11A,SEC11B,SEC11C,SHH,SPCS1,SPCS2,SPCS3,SPG7,THSD4,TMPRSS11D,TMPRSS5,TPP1,UCHL3,UNC5CL,USP1,USP25,XPNPEP3
GO:0008234:cysteine-type peptidase activity	30	ATG4A,ATG4B,ATG4C,ATG4D,BLMH,CAPN2,CAPN3,CASP5,CASP6,CASP7,CASP8,CTSB,CTSC,CTSH,CTSK,CTSL,CTSV,CTSW,CTSZ,ESPL1,OTUD7B,OTULIN,PGPEP1,PGPEP1L,PIGK,SENP3,TINAGL1,USP21,USP9X,USP9Y
GO:0008235:metalloexopeptidase activity	12	DPEP1,DPEP2,DPEP3,ERAP1,LAP3,METAP1,METAP1D,METAP2,NPEPL1,NUDT16,RNPEP,ZMPSTE24
GO:0008236:serine-type peptidase activity	57	C1R,CFD,CMA1,CTRL,CTSG,DPP10,DPP4,DPP6,DPP7,DPP8,DPP9,ENDOU,F7,FAP,GZMB,GZMK,GZMM,HGFAC,HPN,HTRA1,HTRA2,HTRA3,IMMP1L,IMMP2L,KLK10,KLK11,KLK12,KLK15,KLK3,KLK4,KLK5,KLK7,NAALAD2,NUP98,PLG,PREP,PRSS12,PRSS16,PRSS21,PRSS57,PRSS8,PRTN3,RBP3,RELN,SEC11A,SEC11B,SEC11C,ST14,TMPRSS11B,TMPRSS11E,TMPRSS2,TMPRSS7,TPP1,TPSAB1,TPSB2,TPSD1,TPSG1
GO:0008237:metallopeptidase activity	63	ACE,ACE2,ACY1,ADAM10,ADAM11,ADAM12,ADAM15,ADAM17,ADAM18,ADAM2,ADAM20,ADAM21,ADAM23,ADAM28,ADAM29,ADAM30,ADAM8,ADAM9,ADAMTS1,ADAMTS13,ADAMTS2,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,AFG3L2,AMZ1,AMZ2,ANPEP,BMP1,BRCC3,CHMP1A,CLCA1,CLCA2,CLCA4,CNDP1,CNDP2,COPS5,DPP3,ECEL1,EIF3H,ERAP2,ERMP1,F6X3S4,LNPEP,MME,MMP2,MMP23B,MMP3,MMP7,MMP9,MPND,MYSM1,NAALAD2,NAALADL1,PAPPA,PAPPA2,PITRM1,PSMD14,STAMBP,STAMBPL1
GO:0008238:exopeptidase activity	5	ACE,ACE2,F6X3S4,GGH,MME
GO:0008239:dipeptidyl-peptidase activity	16	ACE,ACE2,DPEP1,DPEP2,DPEP3,DPP10,DPP3,DPP4,DPP6,DPP7,DPP8,F6X3S4,FAP,NAALAD2,PRCP,PRSS16
GO:0008240:tripeptidyl-peptidase activity	3	ACE,TPP1,TPP2
GO:0008241:peptidyl-dipeptidase activity	3	ACE,ACE2,F6X3S4
GO:0008242:omega peptidase activity	3	APEH,GGH,UCHL1
GO:0008251:tRNA-specific adenosine deaminase activity	6	ADAD1,ADAD2,ADAR,ADARB1,ADARB2,ADAT1
GO:0008252:nucleotidase activity	2	NT5C,NT5M
GO:0008253:5'-nucleotidase activity	14	ACP3,NT5C,NT5C1A,NT5C1B,NT5C1B-RDH14,NT5C2,NT5C3A,NT5C3B,NT5DC1,NT5DC2,NT5DC3,NT5DC4,NT5E,NT5M
GO:0008260:3-oxoacid CoA-transferase activity	2	OXCT1,OXCT2
GO:0008263:pyrimidine-specific mismatch base pair DNA N-glycosylase activity	2	MBD4,TDG
GO:0008266:poly(U) RNA binding	24	ATXN1,DAZAP1,DIS3L2,FMR1,HNRNPC,HNRNPH1,IFIT5,KHDRBS1,KHDRBS2,MCRS1,MSI1,MSI2,PABPC1,PABPC1L,PABPC3,PABPC4,PABPC4L,PABPC5,PATL1,PNPT1,RBM11,RBMS3,RPS7,SSB
GO:0008270:zinc ion binding	826	A8MVJ9,AARS1,AARS2,ACE,ACE2,ACER3,ACMSD,ACR,ADA,ADA2,ADAM30,ADAM33,ADAM8,ADAMDEC1,ADAMTS1,ADAMTS13,ADAMTS15,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS5,ADAMTS8,ADAMTS9,ADAT2,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,AEBP1,AFG3L2,AFM,AFP,AGBL1,AGBL2,AGBL3,AGBL4,AGBL5,AGTPBP1,AICDA,AIRE,AKAP8,ALAD,ALB,ALKBH8,ALPI,ALPP,ANPEP,AOC1,AOPEP,APEX2,APIP,APOBEC1,APOBEC3A,APOBEC3B,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,APOBEC3H,AR,ARHGEF2,ARIH1,ARIH2,ASAH2,ASTL,ATAD3A,ATAD3B,ATAD3C,ATP13A2,ATXN7L3,BAZ1B,BBOX1,BHMT,BHMT2,BIRC2,BLM,BLVRA,BMI1,BMP1,BRAP,BRCA1,BSPRY,C11orf54,CA1,CA10,CA11,CA12,CA13,CA14,CA2,CA3,CA4,CA5A,CA5B,CA5BP1,CA6,CA7,CA8,CA9,CAD,CALB1,CALR,CBLB,CBLC,CD4,CDA,CDADC1,CHD3,CHD4,CHMP1A,CHORDC1,CHURC1,CIZ1,CLIP1,CNBP,CPA1,CPA2,CPA3,CPA4,CPA5,CPA6,CPB1,CPB2,CPD,CPE,CPM,CPN1,CPO,CPSF4,CPXM1,CPXM2,CPZ,CREBBP,CRIP1,CRIP2,CRYZ,CSRP1,CTCF,CXXC1,CXXC4,CXXC5,CYHR1,CYLD,CZIB,DBF4,DBF4B,DCTD,DDX58,DHH,DHX58,DMD,DNAJC21,DNAJC24,DNLZ,DNMT1,DNPEP,DPEP1,DPF1,DPF3,DPP3,DPYS,DRP2,DTNA,DTNB,DTX1,DTX2,DTX4,DUSP12,DYTN,EARS2,ECE1,EEA1,EGR1,EHMT1,EHMT2,ENPEP,ENPP1,ENPP2,ENPP3,ENPP7,EP300,EPRS1,ERAP1,ERAP2,ERI2,ERVK-10,ERVK-11,ERVK-18,ERVK-19,ERVK-24,ERVK-25,ERVK-5,ERVK-6,ERVK-7,ERVK-8,ERVK-9,ESCO1,ESR1,ESR2,ESRRA,ESRRB,ESRRG,FBXL19,FBXO11,FBXO30,FBXO40,FNTB,GALT,GATA1,GATA2,GATA3,GATA4,GATA5,GATA6,GATAD1,GATAD2A,GATAD2B,GCH1,GCM1,GDA,GLI2,GLO1,GLRA1,GRIN2A,GRIN2B,GTF2B,GTF2H2,GTF2H2C,H3BRQ4,HDAC10,HDAC4,HDAC6,HERC2,HERVK_113,HHIP,HIF1AN,HLTF,HNF4A,HNF4G,HPF1,HRG,IDE,IFIH1,IGHMBP2,IKZF4,IKZF5,ITGB1BP2,KAT6A,KAT7,KCMF1,KDM1B,KDM2A,KDM2B,KDM4A,KDM4C,KDM5A,KDM5B,KDM5C,KDM7A,KLF4,KLF7,KMT2A,KMT2B,KNG1,KPNB1,L3MBTL1,L3MBTL2,L3MBTL3,L3MBTL4,LACTB2,LANCL1,LCN1,LIG3,LIMS1,LIN28A,LIN28B,LITAF,LMCD1,LNPEP,LTA4H,LTN1,LVRN,MAP3K1,MARCHF1,MARCHF10,MARCHF11,MARCHF2,MARCHF3,MARCHF4,MARCHF5,MARCHF6,MARCHF7,MARCHF8,MARCHF9,MATR3,MBD1,MBTD1,MDM2,MDM4,MEFV,MEP1A,MEP1B,MIB1,MIB2,MID1,MID2,MME,MMP1,MMP10,MMP11,MMP12,MMP13,MMP14,MMP15,MMP16,MMP17,MMP19,MMP2,MMP20,MMP21,MMP23B,MMP24,MMP25,MMP26,MMP27,MMP28,MMP3,MMP7,MMP8,MMP9,MNAT1,MORC1,MORC2,MORC3,MORC4,MPI,MSRB1,MSRB2,MSRB3,MT1A,MT1B,MT1E,MT1F,MT1G,MT1H,MT1L,MT1M,MT1X,MT2A,MT3,MTA1,MTA2,MTA3,MTR,MYCBP2,MYRIP,MYT1,MYT1L,NAALADL1,NANOS1,NANOS2,NANOS3,NAPEPLD,NBR1,NEIL1,NEIL2,NEIL3,NFX1,NFXL1,NPEPPS,NPEPPSL1,NQO2,NR1D1,NR1D2,NR1H2,NR1H3,NR1H4,NR1I2,NR1I3,NR2C1,NR2C2,NR2E1,NR2E3,NR2F1,NR2F2,NR2F6,NR3C1,NR3C2,NR4A1,NR4A2,NR4A3,NR5A1,NR5A2,NR6A1,NSD1,NSMCE2,NUDT12,OTUD7A,OTUD7B,P2RX1,P2RX4,PAM,PAPPA,PAPPA2,PARP1,PDE2A,PDXK,PDZRN3,PEG10,PEX12,PGGT1B,PGLYRP1,PGLYRP2,PGLYRP3,PGLYRP4,PGR,PHC1,PHC2,PHC3,PHEX,PHF2,PHF5A,PHF8,PIAS1,PIAS2,PIAS3,PIAS4,PIKFYVE,PITRM1,PML,PNMA3,POLE,POLR1A,POLR2I,POLR2K,POLR2L,POLR3K,PPARA,PPARD,PPARG,PRDM2,PRICKLE1,PRICKLE2,PRICKLE3,PRICKLE4,PRIMPOL,PRKCA,PRKCB,PRKCG,PRKN,PRM2,PTER,PTGR2,PTPN1,QPCT,QPCTL,RABGEF1,RABGGTA,RABGGTB,RABIF,RAG1,RAG2,RARA,RARB,RARG,RASGRP1,RASSF1,RBAK,RBBP6,RBM20,RBM4,RBM4B,RBSN,RBX1,RC3H1,RCHY1,RERE,RGN,RLF,RNF11,RNF112,RNF125,RNF139,RNF145,RNF146,RNF151,RNF165,RNF167,RNF2,RNF207,RNF24,RNF26,RNF4,RNF41,RNF5,RNF7,RNF8,RNPEP,RNPEPL1,RORA,RORB,RORC,RPH3A,RPS27,RPS29,RTL3,RTL4,RTN4IP1,RXRA,RXRB,RXRG,S100A12,S100A13,S100A3,S100A5,S100A6,S100A7,S100A8,S100A9,S100B,SAMHD1,SAP30L,SCAPER,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEMG1,SEMG2,SETDB1,SETDB2,SETMAR,SF1,SF3A2,SF3A3,SHANK3,SHH,SHMT1,SHMT2,SIAH1,SIAH2,SIRT2,SIRT3,SIRT4,SIRT5,SIRT6,SKI,SLC30A5,SLC30A8,SLFN11,SLFN13,SLU7,SMAD3,SMPD1,SMPDL3A,SMPDL3B,SNCA,SNRPC,SOD1,SORD,SPG7,SQSTM1,SREK1IP1,SRSF7,ST18,SUPT4H1,SUV39H1,SUV39H2,TADA2B,TARS1,TCEA1,TCEA2,TCEA3,TES,TET1,TET2,TET3,THAP1,THAP11,THRA,THRB,TIMM10,TIMM13,TIMM8B,TIMM9,TIMP1,TIMP2,TK1,TLL1,TLL2,TMEM163,TNFAIP3,TNFSF10,TNKS,TNP2,TOP3A,TP53,TRAF1,TRAF2,TRAF3,TRAF4,TRAF5,TRAF6,TRAF7,TRHDE,TRIM10,TRIM11,TRIM13,TRIM14,TRIM15,TRIM16,TRIM17,TRIM2,TRIM21,TRIM22,TRIM23,TRIM24,TRIM26,TRIM27,TRIM28,TRIM29,TRIM3,TRIM31,TRIM32,TRIM33,TRIM34,TRIM35,TRIM36,TRIM37,TRIM38,TRIM39,TRIM4,TRIM40,TRIM41,TRIM42,TRIM43,TRIM43B,TRIM44,TRIM45,TRIM46,TRIM47,TRIM48,TRIM49,TRIM49B,TRIM49C,TRIM49D1,TRIM5,TRIM50,TRIM51,TRIM51GP,TRIM52,TRIM54,TRIM55,TRIM56,TRIM58,TRIM59,TRIM6,TRIM60,TRIM61,TRIM62,TRIM63,TRIM64,TRIM64B,TRIM64C,TRIM65,TRIM66,TRIM67,TRIM68,TRIM7,TRIM71,TRIM72,TRIM73,TRIM74,TRIM75P,TRIM77,TRIM8,TRIM9,TRIP4,TRIT1,TRPS1,TTF2,TUT4,TUT7,UBR1,UBR2,UBR3,UBR4,UBR5,UBR7,UHRF1,UPB1,UPF1,USP13,USP16,USP20,USP22,USP3,USP33,USP39,USP44,USP45,USP49,USP5,USP51,UTRN,VAT1,VAT1L,VDR,WBP4,WDFY1,WT1,XAF1,YY1,ZACN,ZADH2,ZBBX,ZBTB32,ZC3HC1,ZCCHC10,ZCCHC12,ZCCHC13,ZCCHC14,ZCCHC17,ZCCHC2,ZCCHC23,ZCCHC24,ZCCHC3,ZCCHC4,ZCCHC7,ZCCHC8,ZCCHC9,ZCRB1,ZCWPW1,ZCWPW2,ZDBF2,ZDHHC20,ZEB1,ZFAND1,ZFAND2A,ZFAND2B,ZFAND3,ZFAND4,ZFAND5,ZFAND6,ZFHX2,ZFHX3,ZFHX4,ZFP37,ZFPL1,ZFPM2,ZFR,ZFR2,ZFYVE1,ZGLP1,ZGRF1,ZIM2,ZKSCAN5,ZMAT1,ZMAT2,ZMAT3,ZMAT4,ZMAT5,ZMIZ1,ZMIZ2,ZMYM1,ZMYM2,ZMYM3,ZMYM4,ZMYM5,ZMYM6,ZMYND11,ZMYND8,ZNF117,ZNF146,ZNF184,ZNF185,ZNF195,ZNF2,ZNF205,ZNF207,ZNF208,ZNF212,ZNF214,ZNF22,ZNF276,ZNF282,ZNF3,ZNF318,ZNF330,ZNF331,ZNF346,ZNF385A,ZNF385B,ZNF385C,ZNF385D,ZNF407,ZNF593,ZNF622,ZNF638,ZNF675,ZNF75D,ZNF8,ZNF830,ZNF84,ZNF90,ZNF91,ZNF92,ZNF93,ZNFX1,ZNRD1,ZPR1,ZSWIM1,ZSWIM2,ZSWIM3,ZSWIM4,ZSWIM5,ZSWIM6,ZSWIM7,ZSWIM8,ZZEF1,ZZZ3
GO:0008271:secondary active sulfate transmembrane transporter activity	11	SLC26A1,SLC26A10,SLC26A11,SLC26A2,SLC26A3,SLC26A4,SLC26A5,SLC26A6,SLC26A7,SLC26A8,SLC26A9
GO:0008273:calcium, potassium:sodium antiporter activity	5	SLC24A1,SLC24A2,SLC24A3,SLC24A4,SLC24A5
GO:0008276:protein methyltransferase activity	10	CARM1,FAM98A,FAM98B,HEMK1,METTL21A,METTL22,N6AMT1,NTMT1,PRMT1,TRMT112
GO:0008281:sulfonylurea receptor activity	2	ABCC8,ABCC9
GO:0008289:lipid binding	154	ACBD4,ACBD5,ACBD6,ACBD7,ACOT11,ACOT12,ALOX15B,ANXA6,AP2A2,AP2M1,APOA2,APOA4,APOA5,APOC2,APOC4-APOC2,APOE,APOH,APOL1,APOL2,APOL3,APOL4,APOL5,APOL6,APOLD1,ARHGEF5,ATP5MC1,ATP5MC2,ATP5MC3,BAD,BAX,BIN3,BPIFA1,BPIFA3,BPIFA4P,BPIFB1,BPIFB2,BPIFB3,BPIFB4,BPIFB6,CADPS,CADPS2,CD36,CD55,CDK5R2,CERT1,CETP,CHMP4A,COQ9,CPTP,CYTH1,CYTH2,CYTH4,DBI,DEFB107A,DGKA,DGKB,DGKG,DLC1,DNM1L,DOK7,EPDR1,FABP12,FABP5,FABP5P3,FABP6,FABP7,FABP9,FCHSD1,FER,FFAR1,FFAR2,FFAR3,FNBP1,FNBP1L,FYB1,FZD5,GLTP,GLTPD2,GPIHBP1,HDLBP,IQSEC1,LIPF,LPAR2,LPAR3,LTC4S,MAL,MARK2,MCOLN1,MCOLN3,MELK,MTTP,MVB12A,MVB12B,NGF,OSBP,OSBP2,OSBPL10,OSBPL11,OSBPL1A,OSBPL2,OSBPL3,OSBPL5,OSBPL6,OSBPL7,OSBPL8,OSBPL9,PACSIN3,PDZD8,PEX3,PFN3,PFN4,PITPNM3,PLEKHA3,PLEKHA8,PLEKHA8P1,PLIN1,PPARA,PPARD,PPARG,PPP5C,PRAM1,PSAP,PTEN,RASGRP1,RASGRP2,RUFY1,S100A10,S100A13,S1PR2,S1PR3,S1PR4,SCUBE2,SEC14L3,SEC14L4,SH3GL1,SH3GL2,SH3GL3,SH3GLB1,SPHK1,STARD10,STARD13,STARD6,STARD7,STARD8,STARD9,TEX2,TIAM1,TREM2,TRIP10,TRPV4,UNC119,UNC119B,VCP,WASHC2A
GO:0008294:calcium- and calmodulin-responsive adenylate cyclase activity	2	ADCY1,ADCY8
GO:0008296:3'-5'-exodeoxyribonuclease activity	6	EXD2,MRE11,POLD1,TATDN1,TREX1,TREX2
GO:0008301:DNA binding, bending	19	CRIP1,FOXC1,FOXD1,FOXD4,FOXI1,FOXL1,HHEX,HMGA2,HMGB1,HMGB1P1,HMGB2,HMGB3,HMGB4,LEF1,TERF1,TFAM,TOP2A,TRERF1,TREX1
GO:0008307:structural constituent of muscle	43	ACTN2,ACTN3,ANKRD2,ASPH,CAPN3,CSRP1,CSRP3,DAG1,DMD,JPH1,KRT19,MYBPC1,MYBPC2,MYBPC3,MYBPH,MYH11,MYH8,MYL1,MYL2,MYL3,MYL5,MYL6,MYL6B,MYL9,MYLPF,MYOM1,MYOM2,MYOM3,MYOT,NEB,NEBL,NEXN,OBSCN,PDLIM3,PLEC,SMTN,SORBS2,SYNM,TCAP,TPM1,TPM2,TPM4,TTN
GO:0008308:voltage-gated anion channel activity	6	GPR89A,GPR89B,SLC17A3,VDAC1,VDAC2,VDAC3
GO:0008309:double-stranded DNA exodeoxyribonuclease activity	2	APEX1,FEN1
GO:0008310:single-stranded DNA 3'-5' exodeoxyribonuclease activity	6	ERI2,EXD2,EXO5,ISG20,MEIOB,POLE
GO:0008311:double-stranded DNA 3'-5' exodeoxyribonuclease activity	2	APEX1,APEX2
GO:0008312:7S RNA binding	8	D6RBG4,EXOSC2,SRP14,SRP19,SRP54,SRP68,SRP72,SRP9
GO:0008320:protein transmembrane transporter activity	16	ABCA1,AZGP1,BLOC1S3,MCL1,SEC61A1,SEC61A2,SEC61G,SEC63,TIMM22,TIMM23,TIMM23B,TOMM22,TOMM40,TOMM40L,TOMM7,TOMM70
GO:0008321:Ral guanyl-nucleotide exchange factor activity	3	RALGPS1,RGL1,RGL3
GO:0008324:cation transmembrane transporter activity	7	CHRNE,PKD1L3,PKD2L1,SLC30A7,SLC30A9,SLC41A3,SLC8B1
GO:0008327:methyl-CpG binding	30	CDX1,CDX2,CHTOP,CXXC4,CXXC5,DNMT1,ERH,HOXB13,LHX4,LRWD1,MBD1,MBD2,MBD3,MBD3L1,MBD3L2,MBD3L2B,MBD3L3,MBD3L4,MBD3L5,MECP2,PRMT1,PRMT5,TET1,TET3,UHRF1,WDR77,ZBTB21,ZBTB33,ZBTB38,ZBTB4
GO:0008330:protein tyrosine/threonine phosphatase activity	7	DUSP1,DUSP10,DUSP16,DUSP2,DUSP4,DUSP5,DUSP8
GO:0008331:high voltage-gated calcium channel activity	10	CACNA1A,CACNA1B,CACNA1C,CACNA1D,CACNA1F,CACNA1S,CACNB1,CACNB2,CACNB3,CACNB4
GO:0008332:low voltage-gated calcium channel activity	3	CACNA1G,CACNA1H,CACNA1I
GO:0008349:MAP kinase kinase kinase kinase activity	4	MAP4K1,MAP4K2,MAP4K3,MAP4K5
GO:0008353:RNA polymerase II CTD heptapeptide repeat kinase activity	16	BRD4,CCNH,CCNK,CDK1,CDK12,CDK13,CDK19,CDK7,CDK8,CDK9,ERCC2,ERCC3,GTF2H1,GTF2H3,GTF2H4,MAPK1
GO:0008373:sialyltransferase activity	15	ST3GAL3,ST3GAL4,ST3GAL5,ST3GAL6,ST6GAL1,ST6GALNAC1,ST6GALNAC2,ST6GALNAC3,ST6GALNAC4,ST6GALNAC5,ST6GALNAC6,ST8SIA1,ST8SIA3,ST8SIA5,ST8SIA6
GO:0008374:O-acyltransferase activity	19	AWAT1,AWAT2,DGAT1,DGAT2,DGAT2L6,DGAT2L7P,HHAT,LCLAT1,MBOAT4,MOGAT1,MOGAT2,MOGAT3,PIGW,PLA2G15,PLA2G4A,PLAAT1,SOAT1,SOAT2,TAZ
GO:0008375:acetylglucosaminyltransferase activity	35	A4GNT,A8MXE2,B3GALNT1,B3GALNT2,B3GALT1,B3GALT2,B3GALT4,B3GALT5,B3GALT6,B3GLCT,B3GNT2,B3GNT3,B3GNT4,B3GNT5,B3GNT6,B3GNT7,B3GNT8,B3GNT9,EXT1,EXT2,EXTL1,HEXA,HEXB,LARGE1,LFNG,MFNG,MGAT1,MGAT4A,MGAT4B,MGAT4C,MGAT4D,OGT,POMGNT1,POMGNT2,RFNG
GO:0008376:acetylgalactosaminyltransferase activity	23	A8MXE2,B3GALNT1,B3GALNT2,B3GALT1,B3GALT2,B3GALT4,B3GALT5,B3GALT6,B3GNT2,B3GNT3,B3GNT4,B3GNT5,B3GNT6,B3GNT7,B3GNT8,B3GNT9,B4GALNT1,B4GALNT2,B4GALNT3,B4GALNT4,CHPF2,CSGALNACT1,CSGALNACT2
GO:0008378:galactosyltransferase activity	10	A4GALT,B3GALT6,B3GNT6,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT5,B4GALT6,B4GALT7
GO:0008379:thioredoxin peroxidase activity	5	PRDX1,PRDX2,PRDX3,PRDX4,PRDX5
GO:0008381:mechanosensitive ion channel activity	13	PIEZO1,PIEZO2,TMC1,TMC2,TMC3,TMC4,TMC5,TMC6,TMC7,TMC8,TMEM150C,TMEM63A,TMEM63B
GO:0008384:IkappaB kinase activity	3	CHUK,IKBKB,IKBKE
GO:0008391:arachidonic acid monooxygenase activity	8	CYP1A1,CYP4A11,CYP4A22,CYP4F11,CYP4F12,CYP4F2,CYP4F3,CYP4F8
GO:0008392:arachidonic acid epoxygenase activity	17	A0A087X0B3,CYP2A13,CYP2A6,CYP2A7,CYP2B6,CYP2C18,CYP2C19,CYP2C8,CYP2C9,CYP2E1,CYP2F1,CYP2G1P,CYP2J2,CYP2S1,CYP4A11,CYP4F12,CYP4F2
GO:0008395:steroid hydroxylase activity	33	A0A087X0B3,CH25H,CYP11B2,CYP19A1,CYP21A2,CYP27A1,CYP2A13,CYP2A6,CYP2A7,CYP2B6,CYP2C18,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP2D7,CYP2E1,CYP2F1,CYP2G1P,CYP2J2,CYP2R1,CYP2S1,CYP2U1,CYP2W1,CYP39A1,CYP3A4,CYP3A43,CYP3A5,CYP3A7,CYP3A7-CYP3A51P,CYP46A1,CYP7A1,CYP7B1
GO:0008396:oxysterol 7-alpha-hydroxylase activity	2	CYP39A1,CYP7B1
GO:0008401:retinoic acid 4-hydroxylase activity	10	CYP26A1,CYP26B1,CYP26C1,CYP2C18,CYP2C8,CYP2S1,CYP2W1,CYP3A4,CYP3A5,CYP3A7
GO:0008408:3'-5' exonuclease activity	19	A0A1W2PPC4,APEX1,APLF,ERI1,EXD1,EXD2,EXD3,MRE11,POLG,RAD1,RAD50,RAD9A,RAD9B,REV3L,REXO2,REXO4,TREX1,TRIR,WRN
GO:0008409:5'-3' exonuclease activity	11	CPSF3,DCLRE1B,DCLRE1C,DXO,EXO1,EXOG,FAN1,FEN1,MRE11,TRIR,XRN2
GO:0008413:8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity	2	NUDT1,NUDT15
GO:0008417:fucosyltransferase activity	9	FUT1,FUT2,FUT3,FUT4,FUT5,FUT6,FUT7,FUT9,POFUT1
GO:0008418:protein-N-terminal asparagine amidohydrolase activity	2	NTAN1,WDYHV1
GO:0008420:RNA polymerase II CTD heptapeptide repeat phosphatase activity	13	CTDP1,CTDSP1,CTDSP2,CTDSPL,CTDSPL2,RPAP2,SSU72,SSU72P2,SSU72P3,SSU72P4,SSU72P5,SSU72P7,SSU72P8
GO:0008422:beta-glucosidase activity	5	GBA2,GBA3,KL,LCT,LCTL
GO:0008426:protein kinase C inhibitor activity	3	HSPB1,SFN,YWHAG
GO:0008427:calcium-dependent protein kinase inhibitor activity	3	CAMK2N1,CAMK2N2,CIB1
GO:0008429:phosphatidylethanolamine binding	11	ANXA11,CD300A,ESYT1,ESYT2,ESYT3,MAP1LC3A,MFGE8,NF1,PEBP1,PEMT,PLTP
GO:0008430:selenium binding	9	DIO1,DIO2,GPX3,GPX4,GPX5,RPH3A,SELENBP1,SELENOP,SELENOT
GO:0008431:vitamin E binding	3	AFM,SEC14L2,TTPA
