GeneA	GeneB	EdgeWeight
HCFC1	HSPA4	0.336
HCFC1	HSPA8	0.324
HCFC1	IRF1	0.206
HCFC1	IRF2	0.229
HCFC1	KAT8	0.953
HCFC1	KLF5	0.379
HCFC1	KMT2A	0.979
HCFC1	KMT2E	0.625
HCFC1	LMNA	0.175
HCFC1	MAP3K7	0.423
HCFC1	MEN1	0.765
HCFC1	MPHOSPH8	0.175
HCFC1	MYC	0.382
HCFC1	NCOA6	0.551
HCFC1	NCOR1	0.314
HCFC1	NFE2L1	0.16
HCFC1	NFE2L3	0.813
HCFC1	NOTCH1	0.217
HCFC1	NTRK1	0.157
HCFC1	OGT	0.998
HCFC1	PDCD2	0.634
HCFC1	PHF8	0.754
HCFC1	POLR2J	0.292
HCFC1	POU2F1	0.584
HCFC1	PPARGC1A	0.941
HCFC1	PPP1CA	0.818
HCFC1	PPP1CB	0.943
HCFC1	PSMD7	0.418
HCFC1	RBBP4	0.447
HCFC1	RBBP5	0.986
HCFC1	RBBP7	0.432
HCFC1	RPA1	0.204
HCFC1	SETD1A	0.988
HCFC1	SIN3A	0.909
HCFC1	SIN3B	0.519
HCFC1	SIRT7	0.371
HCFC1	SNRPB	0.437
HCFC1	SNRPN	0.379
HCFC1	SP1	0.421
HCFC1	SUDS3	0.349
HCFC1	SUZ12	0.176
HCFC1	THAP1	0.761
HCFC1	THAP11	0.87
HCFC1	THAP2	0.783
HCFC1	THAP3	0.752
HCFC1	THAP7	0.477
HCFC1	TRIM28	0.485
HCFC1	USF1	0.478
HCFC1	WDR5	0.994
HCFC1	WDR82	0.967
HCFC1	YY1	0.97
HCFC1	ZBTB17	0.431
HCFC1	ZNF335	0.497
HCFC1R1	OGT	0.269
HCFC2	HELZ	0.17
HCFC2	IRF2	0.196
HCFC2	KMT2A	0.834
HCFC2	KMT2B	0.878
HCFC2	MEN1	0.766
HCFC2	NFE2L3	0.532
HCFC2	OGT	0.814
HCFC2	RBBP5	0.893
HCFC2	SETD1A	0.59
HCFC2	THAP2	0.793
HCFC2	TUBA4A	0.172
HCFC2	TUBB8	0.153
HCFC2	WDR5	0.891
HCK	HSP90AA1	0.418
HCK	HSP90AB1	0.259
HCK	IL6ST	0.939
HCK	KHDRBS1	0.473
HCK	LETMD1	0.183
HCK	MAP4K5	0.18
HCK	MDM2	0.42
HCK	MED28	0.267
HCK	NGEF	0.92
HCK	OLIG1	0.53
HCK	PAK2	0.438
HCK	PDCD6IP	0.443
HCK	PECAM1	0.512
HCK	PIK3CB	0.971
HCK	PIK3R3	0.953
HCK	PTK2	0.959
HCK	RAPGEF1	0.756
HCK	RASA1	0.943
HCK	RASA3	0.405
HCK	RPL10	0.389
HCK	RUFY1	0.312
HCK	SH2B2	0.179
HCK	SH3KBP1	0.655
HCK	SKAP2	0.676
HCK	SOS1	0.972
HCK	SPRR2A	0.336
HCK	SRC	0.938
HCK	STAT3	0.96
HCK	TNK2	0.425
HCK	TOX2	0.153
HCK	TRPV4	0.386
HCK	UNC119	0.693
HCK	WAS	0.879
HCK	WIPF1	0.411
HCLS1	KCNA3	0.531
HCLS1	LYN	0.981
HCLS1	MAP4K1	0.433
HCLS1	SH2D4A	0.186
HCLS1	SH3BP2	0.328
HCLS1	SNCA	0.269
HCLS1	SNX1	0.691
HCLS1	SNX5	0.812
HCLS1	SYK	0.976
HCLS1	WIPF1	0.678
HCN1	HCN2	0.858
HCN1	HCN3	0.389
HCN1	HCN4	0.831
HCN1	NEDD4L	0.534
HCN2	HCN4	0.951
HCN3	HCN4	0.323
HCRT	HCRTR1	0.994
HCRT	HCRTR2	0.995
HCRTR1	LEPR	0.362
HCST	KLRK1	0.923
HCST	PIK3R1	0.87
HCST	STARD3NL	0.524
HDAC1	HDAC2	0.985
HDAC1	HDAC5	0.956
HDAC1	HDAC7	0.97
HDAC1	HDAC9	0.972
HDAC1	HDGF	0.186
HDAC1	HELLS	0.608
HDAC1	HES1	0.489
HDAC1	HEXIM1	0.545
HDAC1	HEY2	0.408
HDAC1	HIF1A	0.58
HDAC1	HIF1AN	0.577
HDAC1	HIST1H2AA	0.948
HDAC1	HIST1H2AB	0.674
HDAC1	HIST1H2BA	0.972
HDAC1	HIST1H2BB	0.928
HDAC1	HIST1H3A	0.622
HDAC1	HIST1H3E	0.537
HDAC1	HIST1H3J	0.43
HDAC1	HIST1H4A	0.866
HDAC1	HIST2H2AA3	0.904
HDAC1	HIST2H3D	0.437
HDAC1	HIST3H2BB	0.763
HDAC1	HIST3H3	0.561
HDAC1	HIST4H4	0.794
HDAC1	HMG20A	0.394
HDAC1	HMG20B	0.981
HDAC1	HNRNPD	0.526
HDAC1	HNRNPR	0.396
HDAC1	HOXA11	0.425
HDAC1	HR	0.436
HDAC1	HSD11B2	0.443
HDAC1	HSF1	0.512
HDAC1	HSPA4	0.593
HDAC1	HSPD1	0.37
HDAC1	HUS1	0.434
HDAC1	IDH2	0.207
HDAC1	IFRD1	0.642
HDAC1	IKZF1	0.632
HDAC1	IKZF2	0.256
HDAC1	IKZF3	0.267
HDAC1	ING1	0.855
HDAC1	ING2	0.979
HDAC1	INSM1	0.752
HDAC1	IPO5	0.171
HDAC1	IRF5	0.356
HDAC1	JDP2	0.549
HDAC1	JUN	0.973
HDAC1	KAT5	0.988
HDAC1	KCTD11	0.538
HDAC1	KDM1A	0.99
HDAC1	KDM4A	0.674
HDAC1	KDM5A	0.817
HDAC1	KDM5B	0.775
HDAC1	KDM5C	0.695
HDAC1	KLF1	0.633
HDAC1	KLF11	0.489
HDAC1	KLF4	0.657
HDAC1	KLF5	0.55
HDAC1	KMT2A	0.959
HDAC1	KMT2E	0.975
HDAC1	KPNA4	0.185
HDAC1	KPNA6	0.536
HDAC1	L3MBTL2	0.495
HDAC1	LARP7	0.383
HDAC1	LCOR	0.301
HDAC1	LEF1	0.968
HDAC1	LMO4	0.928
HDAC1	MAD1L1	0.539
HDAC1	MAFK	0.413
HDAC1	MAGEA1	0.428
HDAC1	MAGEB2	0.326
HDAC1	MAPK10	0.384
HDAC1	MAPK11	0.505
HDAC1	MAPK14	0.587
HDAC1	MAPK8	0.62
HDAC1	MAPK9	0.479
HDAC1	MBD1	0.497
HDAC1	MBD2	0.988
HDAC1	MBD3	0.994
HDAC1	MBD3L1	0.732
HDAC1	MBD3L2	0.946
HDAC1	MBD4	0.63
HDAC1	MBTPS1	0.404
HDAC1	MDM2	0.694
HDAC1	MECOM	0.951
HDAC1	MECP2	0.981
HDAC1	MEF2A	0.573
HDAC1	MEF2D	0.961
HDAC1	MEN1	0.954
HDAC1	MGA	0.225
HDAC1	MIER1	0.705
HDAC1	MIER2	0.458
HDAC1	MIER3	0.662
HDAC1	MKX	0.326
HDAC1	MNT	0.521
HDAC1	MORF4L1	0.991
HDAC1	MORF4L2	0.663
HDAC1	MTA1	0.999
HDAC1	MTA2	0.998
HDAC1	MTA3	0.994
HDAC1	MXD1	0.931
HDAC1	MXI1	0.236
HDAC1	MYC	0.786
HDAC1	MYOD1	0.836
HDAC1	MYT1	0.4
HDAC1	NACC2	0.409
HDAC1	NCOR1	0.993
HDAC1	NCOR2	0.994
HDAC1	NF2	0.198
HDAC1	NFATC1	0.476
HDAC1	NFATC2	0.322
HDAC1	NFE2L2	0.417
HDAC1	NFIX	0.342
HDAC1	NFKB1	0.815
HDAC1	NFKBIA	0.954
HDAC1	NFYA	0.79
HDAC1	NFYB	0.814
HDAC1	NFYC	0.479
HDAC1	NKX2-1	0.265
HDAC1	NKX2-2	0.533
HDAC1	NKX2-5	0.563
HDAC1	NKX3-1	0.487
HDAC1	NKX3-2	0.378
HDAC1	NOLC1	0.295
HDAC1	NONO	0.702
HDAC1	NOTCH1	0.958
HDAC1	NPM1	0.595
HDAC1	NR0B2	0.545
HDAC1	NR1D2	0.423
HDAC1	NR2C1	0.198
HDAC1	NR2C2	0.291
HDAC1	NR2E1	0.946
HDAC1	NR2F2	0.497
HDAC1	NR3C1	0.647
HDAC1	NRIP1	0.968
HDAC1	NUDT21	0.549
HDAC1	NUP54	0.436
HDAC1	NUP98	0.581
HDAC1	OVOL1	0.438
HDAC1	PAAF1	0.318
HDAC1	PADI4	0.526
HDAC1	PAPOLA	0.475
HDAC1	PARK7	0.48
HDAC1	PARP1	0.667
HDAC1	PARP2	0.289
HDAC1	PAX3	0.51
HDAC1	PBX1	0.469
HDAC1	PCGF6	0.226
HDAC1	PCNA	0.473
HDAC1	PFDN5	0.342
HDAC1	PFDN6	0.156
HDAC1	PHB	0.594
HDAC1	PHB2	0.685
HDAC1	PHF1	0.462
HDAC1	PHF12	0.987
HDAC1	PHF14	0.18
HDAC1	PHF20L1	0.749
HDAC1	PHF21A	0.978
HDAC1	PHF21B	0.382
HDAC1	PHF6	0.519
HDAC1	PHLPP1	0.167
HDAC1	PIAS4	0.548
HDAC1	PIK3CA	0.369
HDAC1	PIN1	0.527
HDAC1	PITX2	0.94
HDAC1	PLAGL1	0.475
HDAC1	PML	0.953
HDAC1	POLR3A	0.477
HDAC1	POU2F1	0.942
HDAC1	PPARD	0.465
HDAC1	PPARG	0.96
HDAC1	PPP1CA	0.541
HDAC1	PPP1CC	0.588
HDAC1	PPP2R1A	0.356
HDAC1	PPP2R1B	0.474
HDAC1	PPP6R3	0.296
HDAC1	PRDM1	0.459
HDAC1	PRDM16	0.292
HDAC1	PRDM4	0.95
HDAC1	PRDM5	0.496
HDAC1	PRDM6	0.414
HDAC1	PRKACA	0.391
HDAC1	PRKG1	0.367
HDAC1	PRMT6	0.936
HDAC1	PTMA	0.552
HDAC1	PTOV1	0.195
HDAC1	PWWP2A	0.283
HDAC1	PWWP2B	0.186
HDAC1	RABEP2	0.251
HDAC1	RAD9A	0.468
HDAC1	RAP1A	0.394
HDAC1	RARA	0.944
HDAC1	RB1	0.986
HDAC1	RBBP4	0.998
HDAC1	RBBP7	0.999
HDAC1	RBL1	0.984
HDAC1	RBL2	0.982
HDAC1	RCOR1	0.991
HDAC1	RCOR2	0.79
HDAC1	RCOR3	0.663
HDAC1	RELA	0.872
HDAC1	REPIN1	0.46
HDAC1	RERE	0.777
HDAC1	REST	0.972
HDAC1	RFC1	0.429
HDAC1	RFX3	0.172
HDAC1	RING1	0.942
HDAC1	RNF138	0.316
HDAC1	RNF157	0.262
HDAC1	RNF2	0.948
HDAC1	RORC	0.424
HDAC1	RREB1	0.406
HDAC1	RTCB	0.236
HDAC1	RUNX1	0.969
HDAC1	RUNX1T1	0.612
HDAC1	RUNX2	0.778
HDAC1	RUNX3	0.658
HDAC1	RUVBL2	0.68
HDAC1	RYBP	0.276
HDAC1	SAMSN1	0.382
HDAC1	SAP130	0.954
HDAC1	SAP18	0.981
HDAC1	SAP30	0.981
HDAC1	SAP30L	0.96
HDAC1	SATB1	0.594
HDAC1	SATB2	0.679
HDAC1	SENP1	0.957
HDAC1	SERPINB5	0.577
HDAC1	SETDB1	0.847
HDAC1	SF3A1	0.468
HDAC1	SFMBT1	0.592
HDAC1	SFPQ	0.756
HDAC1	SIN3A	0.998
HDAC1	SIN3B	0.996
HDAC1	SIRT6	0.803
HDAC1	SKIL	0.94
HDAC1	SMAD1	0.427
HDAC1	SMAD2	0.959
HDAC1	SMAD3	0.96
HDAC1	SMAD4	0.963
HDAC1	SMAD5	0.467
HDAC1	SMAD7	0.97
HDAC1	SMARCA2	0.755
HDAC1	SMARCA4	0.988
HDAC1	SMARCA5	0.995
HDAC1	SMARCAD1	0.349
HDAC1	SMARCB1	0.787
HDAC1	SMARCC1	0.946
HDAC1	SMARCC2	0.713
HDAC1	SMARCD1	0.63
HDAC1	SMARCE1	0.786
HDAC1	SMC4	0.537
HDAC1	SMEK1	0.544
HDAC1	SNAI1	0.968
HDAC1	SNAI2	0.959
HDAC1	SNAI3	0.938
HDAC1	SOX2	0.658
HDAC1	SOX6	0.591
HDAC1	SP1	0.972
HDAC1	SP3	0.611
HDAC1	SPEN	0.586
HDAC1	SPI1	0.619
HDAC1	SRPR	0.2
HDAC1	SS18	0.225
HDAC1	SSX2	0.184
HDAC1	STAT1	0.632
HDAC1	STAT3	0.727
HDAC1	STAT5A	0.964
HDAC1	STRAP	0.44
HDAC1	SUDS3	0.992
HDAC1	SUMO1	0.971
HDAC1	SUMO2	0.541
HDAC1	SUV39H1	0.987
HDAC1	SUZ12	0.993
HDAC1	SYK	0.422
HDAC1	TAB2	0.443
HDAC1	TADA2A	0.311
HDAC1	TAF1B	0.925
HDAC1	TAF6	0.198
HDAC1	TAF6L	0.773
HDAC1	TAL1	0.582
HDAC1	TBC1D32	0.187
HDAC1	TBL1XR1	0.975
HDAC1	TBP	0.978
HDAC1	TBX3	0.47
HDAC1	TCF20	0.336
HDAC1	TCF7L2	0.976
HDAC1	TCP1	0.58
HDAC1	TFAP4	0.228
HDAC1	TFCP2	0.963
HDAC1	TFDP1	0.935
HDAC1	TGIF1	0.94
HDAC1	TGIF2	0.938
HDAC1	THAP11	0.378
HDAC1	TLE1	0.977
HDAC1	TLE2	0.943
HDAC1	TLE3	0.975
HDAC1	TLE4	0.967
HDAC1	TMEM54	0.379
HDAC1	TNRC18	0.588
HDAC1	TOP2A	0.593
HDAC1	TOP2B	0.547
HDAC1	TP53	0.99
HDAC1	TP73	0.493
HDAC1	TRERF1	0.758
HDAC1	TRIM21	0.433
HDAC1	TRIM27	0.515
HDAC1	TRIM28	0.972
HDAC1	TRPS1	0.257
HDAC1	TSC22D3	0.345
HDAC1	TXNIP	0.514
HDAC1	UBASH3B	0.287
HDAC1	UBE2I	0.964
HDAC1	UBTF	0.962
HDAC1	UHRF1	0.725
HDAC1	UHRF2	0.504
HDAC1	USP19	0.45
HDAC1	USP37	0.202
HDAC1	USP7	0.607
HDAC1	VBP1	0.153
HDAC1	VHL	0.49
HDAC1	VIM	0.476
HDAC1	VPRBP	0.478
HDAC1	WDR5	0.973
HDAC1	WHSC1	0.659
HDAC1	WISP2	0.406
HDAC1	WIZ	0.371
HDAC1	WRN	0.262
HDAC1	XYLT2	0.252
HDAC1	YAP1	0.164
HDAC1	YY1	0.99
HDAC1	ZBTB16	0.649
HDAC1	ZBTB2	0.315
HDAC1	ZBTB7A	0.574
HDAC1	ZEB2	0.521
HDAC1	ZFP36	0.359
HDAC1	ZFP64	0.265
HDAC1	ZFPM2	0.455
HDAC1	ZGPAT	0.446
HDAC1	ZMYM2	0.637
HDAC1	ZMYM3	0.585
HDAC1	ZMYND11	0.354
HDAC1	ZMYND8	0.283
HDAC1	ZNF148	0.609
HDAC1	ZNF217	0.965
HDAC1	ZNF219	0.606
HDAC1	ZNF273	0.229
HDAC1	ZNF395	0.46
HDAC1	ZNF512B	0.582
HDAC1	ZNF516	0.515
HDAC1	ZNF521	0.701
HDAC1	ZNF592	0.328
HDAC1	ZNF608	0.189
HDAC1	ZNF639	0.241
HDAC1	ZNF687	0.327
HDAC1	ZNF76	0.477
HDAC1	ZNF800	0.28
HDAC1	ZNF827	0.448
HDAC10	HDAC2	0.971
HDAC10	HDAC3	0.971
HDAC10	HSPA8	0.4
HDAC10	JDP2	0.486
HDAC10	LETMD1	0.163
HDAC10	MDC1	0.405
HDAC10	NCOR2	0.971
HDAC10	NUDT21	0.402
HDAC10	PAPOLA	0.399
HDAC10	PAX3	0.416
HDAC10	PCBP3	0.182
HDAC10	PI4K2B	0.191
HDAC10	PPP1CC	0.359
HDAC10	SPG7	0.195
HDAC10	TRIM28	0.404
HDAC10	ZBTB7B	0.456
HDAC10	ZFPL1	0.161
HDAC11	HDAC6	0.961
HDAC11	HIST1H3A	0.259
HDAC11	IKZF1	0.225
HDAC11	KDM1A	0.538
HDAC11	MAPK6	0.154
HDAC11	MSH6	0.243
HDAC11	MTMR3	0.183
HDAC11	NRM	0.2
HDAC11	NUP133	0.159
HDAC11	PAXBP1	0.228
HDAC11	PHIP	0.237
HDAC11	POLR2A	0.152
HDAC11	PRKDC	0.243
HDAC11	RB1	0.361
HDAC11	RCOR2	0.331
HDAC11	RSRC1	0.664
HDAC11	RUNX1	0.226
HDAC11	SCYL3	0.269
HDAC11	SMC1A	0.258
HDAC11	SMC3	0.26
HDAC11	SMN1	0.211
HDAC11	SNW1	0.905
HDAC11	SRRM2	0.166
HDAC11	STAG1	0.236
HDAC11	SUGT1	0.195
HDAC11	SYNE2	0.153
HDAC11	TFIP11	0.188
HDAC11	WDR33	0.237
HDAC11	WDR45	0.552
HDAC2	HDAC7	0.97
HDAC2	HELLS	0.626
HDAC2	HELZ2	0.198
HDAC2	HEXIM1	0.338
HDAC2	HIF1A	0.639
HDAC2	HIF1AN	0.601
HDAC2	HIST1H1D	0.177
HDAC2	HIST1H2AA	0.945
HDAC2	HIST1H2BA	0.978
HDAC2	HIST1H2BB	0.924
HDAC2	HIST1H2BL	0.919
HDAC2	HIST1H2BM	0.918
HDAC2	HIST1H3A	0.619
HDAC2	HIST1H4A	0.849
HDAC2	HIST2H2AC	0.972
HDAC2	HIST2H2BE	0.972
HDAC2	HIST3H3	0.566
HDAC2	HMG20A	0.581
HDAC2	HMG20B	0.986
HDAC2	HMGA1	0.517
HDAC2	HNRNPK	0.235
HDAC2	HNRNPR	0.215
HDAC2	HOPX	0.569
HDAC2	HOXA11	0.452
HDAC2	HR	0.423
HDAC2	HSF1	0.488
HDAC2	HSP90AA1	0.632
HDAC2	HSP90AB1	0.415
HDAC2	HSPA4	0.579
HDAC2	HSPA5	0.164
HDAC2	HSPA8	0.262
HDAC2	HSPD1	0.193
HDAC2	HUWE1	0.497
HDAC2	IKZF1	0.56
HDAC2	IKZF2	0.36
HDAC2	IKZF3	0.406
HDAC2	IKZF4	0.354
HDAC2	ILF3	0.22
HDAC2	ING1	0.817
HDAC2	ING2	0.978
HDAC2	IPO5	0.17
HDAC2	IRS1	0.538
HDAC2	JARID2	0.777
HDAC2	JMJD1C	0.244
HDAC2	KDM1A	0.988
HDAC2	KDM5A	0.576
HDAC2	KDM5B	0.731
HDAC2	KDM5C	0.639
HDAC2	KHSRP	0.2
HDAC2	KLC2	0.19
HDAC2	KLC4	0.171
HDAC2	KLF4	0.658
HDAC2	KLF5	0.493
HDAC2	KMT2A	0.471
HDAC2	KPNB1	0.302
HDAC2	KRT14	0.185
HDAC2	KRT5	0.185
HDAC2	L3MBTL2	0.693
HDAC2	LARS	0.156
HDAC2	LMNA	0.333
HDAC2	LMO4	0.333
HDAC2	MAD1L1	0.476
HDAC2	MAF	0.425
HDAC2	MAFK	0.498
HDAC2	MAX	0.911
HDAC2	MBD1	0.555
HDAC2	MBD2	0.995
HDAC2	MBD3	0.993
HDAC2	MBD3L1	0.801
HDAC2	MBD3L2	0.946
HDAC2	MBTPS1	0.404
HDAC2	MCM3	0.228
HDAC2	MCM5	0.218
HDAC2	MCM7	0.345
HDAC2	MDM2	0.379
HDAC2	MECOM	0.92
HDAC2	MECP2	0.969
HDAC2	MEN1	0.677
HDAC2	MIER1	0.546
HDAC2	MIER2	0.619
HDAC2	MIER3	0.31
HDAC2	MKI67	0.168
HDAC2	MORF4L1	0.99
HDAC2	MORF4L2	0.685
HDAC2	MRE11A	0.164
HDAC2	MTA1	0.995
HDAC2	MTA2	0.995
HDAC2	MTA3	0.992
HDAC2	MXD1	0.939
HDAC2	MXI1	0.257
HDAC2	MYC	0.691
HDAC2	MYCN	0.493
HDAC2	NACC2	0.409
HDAC2	NARS	0.369
HDAC2	NCL	0.255
HDAC2	NCOR2	0.993
HDAC2	NFATC1	0.37
HDAC2	NFE2L2	0.54
HDAC2	NFKB1	0.976
HDAC2	NFKBIA	0.539
HDAC2	NONO	0.459
HDAC2	NPM1	0.566
HDAC2	NR2C1	0.207
HDAC2	NR2C2	0.174
HDAC2	NR2E1	0.945
HDAC2	NR3C1	0.964
HDAC2	NRIP1	0.711
HDAC2	NTRK1	0.257
HDAC2	NUDT21	0.476
HDAC2	OVOL1	0.433
HDAC2	PA2G4	0.608
HDAC2	PABPC1	0.214
HDAC2	PADI4	0.51
HDAC2	PARK7	0.447
HDAC2	PARP1	0.639
HDAC2	PARP14	0.402
HDAC2	PCGF6	0.967
HDAC2	PELP1	0.528
HDAC2	PHB2	0.57
HDAC2	PHC1	0.917
HDAC2	PHC2	0.912
HDAC2	PHF1	0.203
HDAC2	PHF12	0.986
HDAC2	PHF20L1	0.838
HDAC2	PHF21A	0.962
HDAC2	PIAS4	0.512
HDAC2	PLK1	0.333
HDAC2	PML	0.947
HDAC2	POLR3A	0.489
HDAC2	PPARD	0.576
HDAC2	PPP1CC	0.474
HDAC2	PPP1R8	0.382
HDAC2	PPP6R3	0.295
HDAC2	PRDM1	0.506
HDAC2	PRDM16	0.235
HDAC2	PRDM4	0.944
HDAC2	PRDM6	0.407
HDAC2	PRKAA1	0.26
HDAC2	PRKDC	0.364
HDAC2	PSMA3	0.278
HDAC2	PTMA	0.427
HDAC2	RARA	0.477
HDAC2	RARS	0.196
HDAC2	RB1	0.967
HDAC2	RBBP4	0.997
HDAC2	RBBP7	0.998
HDAC2	RBL1	0.978
HDAC2	RBPJ	0.946
HDAC2	RCOR1	0.988
HDAC2	RCOR2	0.686
HDAC2	RCOR3	0.628
HDAC2	RELA	0.981
HDAC2	REPIN1	0.467
HDAC2	RERE	0.725
HDAC2	REST	0.961
HDAC2	RFX3	0.207
HDAC2	RFX5	0.474
HDAC2	RLIM	0.531
HDAC2	RNF2	0.937
HDAC2	RPS6KA3	0.18
HDAC2	RREB1	0.325
HDAC2	RUNX1	0.925
HDAC2	RUNX1T1	0.411
HDAC2	RUVBL2	0.586
HDAC2	SAMHD1	0.203
HDAC2	SAP130	0.945
HDAC2	SAP25	0.389
HDAC2	SAP30	0.98
HDAC2	SAP30L	0.957
HDAC2	SATB1	0.448
HDAC2	SEC13	0.15
HDAC2	SENP1	0.465
HDAC2	SERPINH1	0.296
HDAC2	SETDB1	0.764
HDAC2	SFMBT1	0.197
HDAC2	SFPQ	0.52
HDAC2	SIN3A	0.997
HDAC2	SIN3B	0.991
HDAC2	SIRT1	0.991
HDAC2	SIRT6	0.778
HDAC2	SIRT7	0.797
HDAC2	SMAD2	0.931
HDAC2	SMAD4	0.939
HDAC2	SMAD7	0.47
HDAC2	SMARCA2	0.741
HDAC2	SMARCA4	0.838
HDAC2	SMARCA5	0.995
HDAC2	SMARCAD1	0.264
HDAC2	SMARCB1	0.759
HDAC2	SMARCC2	0.698
HDAC2	SMARCE1	0.744
HDAC2	SMC3	0.729
HDAC2	SMN1	0.374
HDAC2	SNAI1	0.962
HDAC2	SNAI2	0.949
HDAC2	SNAI3	0.339
HDAC2	SNRNP70	0.265
HDAC2	SNW1	0.934
HDAC2	SOX2	0.589
HDAC2	SP1	0.963
HDAC2	SP3	0.96
HDAC2	SRA1	0.379
HDAC2	SRSF9	0.426
HDAC2	SS18	0.165
HDAC2	SS18L1	0.203
HDAC2	STAT3	0.729
HDAC2	SUDS3	0.981
HDAC2	SUMO1	0.943
HDAC2	SUMO2	0.599
HDAC2	SUV39H1	0.981
HDAC2	SUZ12	0.992
HDAC2	SYK	0.369
HDAC2	SYNCRIP	0.479
HDAC2	TAF6	0.181
HDAC2	TAL1	0.48
HDAC2	TARS	0.274
HDAC2	TBL1X	0.974
HDAC2	TBL1XR1	0.972
HDAC2	TBX3	0.408
HDAC2	TCEB3	0.255
HDAC2	TCP1	0.535
HDAC2	TFCP2	0.541
HDAC2	TFDP1	0.229
HDAC2	TMPO	0.182
HDAC2	TOP2A	0.486
HDAC2	TOP2B	0.53
HDAC2	TP53	0.986
HDAC2	TP73	0.424
HDAC2	TPX2	0.27
HDAC2	TRPS1	0.217
HDAC2	TSC22D3	0.386
HDAC2	TWIST1	0.51
HDAC2	TXNDC5	0.16
HDAC2	UBA52	0.209
HDAC2	UBC	0.223
HDAC2	UBE2E2	0.462
HDAC2	UBE2H	0.475
HDAC2	UBE2I	0.936
HDAC2	UNK	0.186
HDAC2	USP17L2	0.423
HDAC2	USP19	0.435
HDAC2	USP4	0.51
HDAC2	VHL	0.482
HDAC2	VPRBP	0.367
HDAC2	WDR5	0.686
HDAC2	WHSC1	0.625
HDAC2	WIZ	0.256
HDAC2	WRN	0.192
HDAC2	XRCC5	0.362
HDAC2	YAF2	0.159
HDAC2	YWHAZ	0.338
HDAC2	YY1	0.988
HDAC2	ZBTB16	0.503
HDAC2	ZBTB7A	0.488
HDAC2	ZEB2	0.435
HDAC2	ZFP1	0.454
HDAC2	ZFPM2	0.455
HDAC2	ZMYM2	0.612
HDAC2	ZMYM3	0.63
HDAC2	ZMYND8	0.179
HDAC2	ZNF217	0.964
HDAC2	ZNF219	0.74
HDAC2	ZNF318	0.4
HDAC2	ZNF461	0.479
HDAC2	ZNF827	0.455
HDAC3	HDAC4	0.967
HDAC3	HDAC5	0.965
HDAC3	HDAC7	0.968
HDAC3	HDAC9	0.965
HDAC3	HIF1A	0.505
HDAC3	HIF1AN	0.377
HDAC3	HIST1H2AA	0.945
HDAC3	HIST1H2BA	0.964
HDAC3	HIST1H3A	0.579
HDAC3	HIST1H4A	0.796
HDAC3	HNF4A	0.363
HDAC3	HNRNPLL	0.229
HDAC3	HR	0.407
HDAC3	HSPA4	0.464
HDAC3	HSPA8	0.323
HDAC3	IGF1R	0.306
HDAC3	IKZF1	0.365
HDAC3	IL16	0.456
HDAC3	INSM1	0.385
HDAC3	IRF3	0.416
HDAC3	JUN	0.963
HDAC3	KAT2B	0.987
HDAC3	KAT5	0.778
HDAC3	KDM1A	0.958
HDAC3	KDM4A	0.495
HDAC3	KLF6	0.54
HDAC3	L3MBTL2	0.502
HDAC3	LCOR	0.202
HDAC3	MAFK	0.423
HDAC3	MAGEA2	0.416
HDAC3	MAGEB2	0.32
HDAC3	MAPK11	0.518
HDAC3	MAPK14	0.53
HDAC3	MBD1	0.32
HDAC3	MECP2	0.633
HDAC3	MEF2A	0.49
HDAC3	MEF2D	0.491
HDAC3	MYC	0.96
HDAC3	NACC1	0.488
HDAC3	NCOR1	0.995
HDAC3	NCOR2	0.999
HDAC3	NFATC1	0.403
HDAC3	NFE2L2	0.425
HDAC3	NFKB1	0.942
HDAC3	NFKBIA	0.954
HDAC3	NONO	0.365
HDAC3	NOS3	0.46
HDAC3	NR0B2	0.337
HDAC3	NR1D1	0.941
HDAC3	NR1H2	0.902
HDAC3	NR1H3	0.92
HDAC3	NR2C1	0.938
HDAC3	NR2C2	0.374
HDAC3	NR2E1	0.945
HDAC3	NRD1	0.384
HDAC3	NRIP1	0.95
HDAC3	NUDT21	0.397
HDAC3	OVOL1	0.391
HDAC3	PAPOLA	0.391
HDAC3	PARP1	0.363
HDAC3	PARP14	0.294
HDAC3	PBX1	0.392
HDAC3	PGK1	0.568
HDAC3	PHB2	0.451
HDAC3	PIK3R1	0.382
HDAC3	PIN1	0.461
HDAC3	PML	0.426
HDAC3	PPARD	0.515
HDAC3	PPARG	0.959
HDAC3	PPAT	0.384
HDAC3	PPP1CA	0.43
HDAC3	PPP4C	0.524
HDAC3	PRAM1	0.379
HDAC3	PRDM4	0.943
HDAC3	PRDM6	0.407
HDAC3	PRKDC	0.227
HDAC3	PROX1	0.527
HDAC3	QPRT	0.168
HDAC3	RARA	0.944
HDAC3	RB1	0.965
HDAC3	RBBP4	0.98
HDAC3	RBL1	0.671
HDAC3	RBM15	0.5
HDAC3	RCOR1	0.95
HDAC3	RCOR3	0.409
HDAC3	RELA	0.972
HDAC3	REPIN1	0.455
HDAC3	RFPL4B	0.16
HDAC3	RREB1	0.218
HDAC3	RUNX1	0.581
HDAC3	RUNX1T1	0.42
HDAC3	RUNX2	0.656
HDAC3	RXRA	0.948
HDAC3	RXRB	0.924
HDAC3	SAFB	0.329
HDAC3	SAFB2	0.331
HDAC3	SAP30	0.967
HDAC3	SAP30L	0.944
